default;VARSTA * -0,1804027;varsta;industrie;coef_industrie;RDCP;LCH;LCH * -0,1375285;RAIA;ROE;ROA;ROTA;PCA;PCA*-10,2012953;ACD;ACD*0,1306642;AIT;AIT * 0,4853927;ACT;PAT;CAT;coef_RATING
No;-1,6236243;9;SERVICII;-1,9360018;2,72;1,37;-0,19;0,04;0,35;0,09;0,54;0,17;-1,77;1,32;0,17;0,04;0,02;0,96;0,09;0,27;-5,33
No;-0,9020135;5;SERVICII;-1,9360018;1,86;1,51;-0,21;0,13;0,97;0,35;1,41;0,25;-2,51;1,34;0,18;0,11;0,05;0,89;0,35;0,36;-5,32
No;-2,8864432;16;SERVICII;-1,9360018;6,85;0,87;-0,12;0,26;0,94;0,16;2,81;0,06;-0,57;0,69;0,09;0,21;0,10;0,79;0,16;0,17;-5,32
No;-3,0668459;17;SERVICII;-1,9360018;0,79;2,25;-0,31;0,04;0,93;0,52;1,10;0,03;-0,31;2,17;0,28;0,04;0,02;0,96;0,52;0,56;-5,32
No;-2,3452351;13;SERVICII;-1,9360018;1,01;1,99;-0,27;0,11;0,18;0,09;0,86;0,10;-1,04;1,80;0,23;0,10;0,05;0,90;0,09;0,50;-5,31
No;-1,9844297;11;SERVICII;-1,9360018;1,68;1,59;-0,22;0,04;1,00;0,37;2,74;0,14;-1,39;1,54;0,20;0,03;0,02;0,97;0,37;0,37;-5,31
No;-2,3452351;13;SERVICII;-1,9360018;2,69;1,37;-0,19;0,17;0,66;0,18;1,73;0,10;-1,06;1,17;0,15;0,14;0,07;0,86;0,18;0,27;-5,31
No;-1,9844297;11;MEDICAL;-2,0331656;2,89;1,39;-0,19;2,36;0,93;0,23;1,59;0,15;-1,49;0,41;0,05;0,70;0,34;0,30;0,23;0,25;-5,30
No;-2,5256378;14;MEDICAL;-2,0331656;4,49;1,21;-0,17;0,04;0,99;0,18;2,52;0,07;-0,74;1,16;0,15;0,04;0,02;0,96;0,18;0,18;-5,30
No;-2,7060405;15;SERVICII;-1,9360018;0,99;2,01;-0,28;0,38;0,19;0,10;1,39;0,07;-0,70;1,46;0,19;0,27;0,13;0,73;0,10;0,50;-5,30
No;-1,2628189;7;SERVICII;-1,9360018;0,23;5,44;-0,75;2,29;0,11;0,09;0,46;0,19;-1,89;1,65;0,22;0,70;0,34;0,30;0,09;0,82;-5,29
No;-3,2472486;18;SERVICII;-1,9360018;3,72;1,26;-0,17;0,09;0,14;0,03;2,77;0,01;-0,11;1,16;0,15;0,08;0,04;0,92;0,03;0,21;-5,28
No;-2,8864432;16;SERVICII;-1,9360018;0,69;2,45;-0,34;0,38;0,11;0,07;1,42;0,05;-0,47;1,77;0,23;0,28;0,13;0,72;0,07;0,59;-5,27
No;-2,3452351;13;SERVICII;-1,9360018;0,15;7,72;-1,06;0,02;0,17;0,15;0,21;0,09;-0,92;7,60;0,99;0,02;0,01;0,98;0,15;0,87;-5,26
No;-0,5412081;3;SERVICII;-1,9360018;1,77;1,55;-0,21;0,31;0,52;0,19;0,68;0,28;-2,83;1,18;0,15;0,24;0,12;0,76;0,19;0,36;-5,26
No;-3,2472486;18;SERVICII;-1,9360018;-74,88;1,00;-0,14;0,03;-0,14;0,00;0,27;0,01;-0,07;0,97;0,13;0,03;0,01;0,97;0,00;-0,01;-5,25
No;-1,9844297;11;SERVICII;-1,9360018;0,31;4,05;-0,56;0,34;0,36;0,29;2,27;0,13;-1,29;3,03;0,40;0,25;0,12;0,75;0,29;0,79;-5,25
No;-2,7060405;15;COMERT;-0,2060851;0,28;4,52;-0,62;0,08;0,35;0,28;1,25;0,23;-2,30;4,17;0,54;0,08;0,04;0,92;0,28;0,80;-5,25
No;-1,804027;10;SERVICII;-1,9360018;0,34;3,90;-0,54;1,35;0,14;0,11;0,74;0,14;-1,47;1,66;0,22;0,57;0,28;0,43;0,11;0,75;-5,25
No;-2,3452351;13;SERVICII;-1,9360018;1,42;1,70;-0,23;2,00;0,27;0,11;1,01;0,11;-1,12;0,57;0,07;0,67;0,32;0,33;0,11;0,41;-5,24
No;-2,5256378;14;SERVICII;-1,9360018;2,16;2,28;-0,31;1,55;0,58;0,12;1,38;0,09;-0,88;0,89;0,12;0,61;0,29;0,39;0,12;0,20;-5,24
