default;VARSTA * -0,1804027;varsta;industrie;coef_industrie;RDCP;LCH;LCH * -0,1375285;RAIA;ROE;ROA;ROTA;PCA;PCA*-10,2012953;ACD;ACD*0,1306642;AIT;AIT * 0,4853927;ACT;PAT;CAT;coef_RATING
No;-3,0668459;17;CONSTRUCTII;-0,8181026;0,31;4,24;-0,58;0,13;0,71;0,54;1,08;0,04;-0,41;3,74;0,49;0,12;0,06;0,88;0,54;0,76;-4,33
No;-3,2472486;18;COMERT;-0,2060851;-2,09;0,52;-0,07;0,01;-0,39;0,36;4,21;0,09;-0,87;0,51;0,07;0,01;0,01;0,99;0,36;-0,92;-4,32
No;-1,4432216;8;SERVICII;-1,9360018;-9,28;0,89;-0,12;1,16;-0,15;0,02;0,17;0,11;-1,13;0,41;0,05;0,54;0,26;0,46;0,02;-0,12;-4,32
No;-1,9844297;11;PRODUCTIE;-0,5517872;1,13;1,85;-0,26;0,14;0,30;0,15;0,82;0,18;-1,80;1,62;0,21;0,12;0,06;0,88;0,15;0,48;-4,32
No;-1,4432216;8;PRODUCTIE;-0,5517872;0,14;8,50;-1,17;0,36;0,18;0,15;0,74;0,21;-2,10;6,23;0,81;0,27;0,13;0,73;0,15;0,84;-4,32
No;-1,804027;10;SERVICII;-1,9360018;6,96;1,68;-0,23;4,94;0,28;0,02;0,31;0,08;-0,78;0,28;0,04;0,83;0,40;0,17;0,02;0,09;-4,31
No;-2,3452351;13;SERVICII;-1,9360018;1,56;1,64;-0,23;0,45;0,04;0,01;1,46;0,01;-0,10;1,13;0,15;0,31;0,15;0,69;0,01;0,39;-4,31
No;-1,804027;10;SERVICII;-1,9360018;0,59;2,72;-0,37;0,18;0,14;0,09;1,53;0,06;-0,57;2,31;0,30;0,15;0,07;0,85;0,09;0,62;-4,31
No;-1,4432216;8;SERVICII;-1,9360018;0,24;5,17;-0,71;0,04;0,15;0,12;1,39;0,09;-0,88;4,99;0,65;0,04;0,02;0,96;0,12;0,81;-4,31
No;-2,5256378;14;SERVICII;-1,9360018;0,31;4,28;-0,59;0,30;-0,19;-0,15;0,35;-0,02;0,20;3,29;0,43;0,23;0,11;0,77;-0,15;0,76;-4,30
No;-1,804027;10;SERVICII;-1,9360018;2,41;1,31;-0,18;0,05;0,65;0,21;3,71;0,06;-0,57;1,25;0,16;0,05;0,02;0,95;0,21;0,32;-4,30
No;-0,3608054;2;SERVICII;-1,9360018;0,96;2,04;-0,28;0,00;1,04;0,53;2,71;0,20;-1,99;2,04;0,27;0,00;0,00;1,00;0,53;0,51;-4,30
No;-2,1648324;12;SERVICII;-1,9360018;0,83;2,15;-0,30;0,10;0,97;0,54;1,26;0,02;-0,20;1,96;0,26;0,09;0,04;0,91;0,54;0,56;-4,30
No;-2,3452351;13;SERVICII;-1,9360018;3,08;1,32;-0,18;0,03;0,01;0,00;1,36;0,00;-0,02;1,28;0,17;0,03;0,02;0,97;0,00;0,25;-4,30
No;-0,9020135;5;SERVICII;-1,9360018;-76,32;0,98;-0,13;0,16;-16,63;0,22;1,51;0,15;-1,50;0,84;0,11;0,14;0,07;0,86;0,22;-0,01;-4,29
No;-1,6236243;9;MEDICAL;-2,0331656;1,65;1,60;-0,22;0,03;0,40;0,15;2,43;0,06;-0,63;1,56;0,20;0,03;0,01;0,97;0,15;0,38;-4,29
No;-1,9844297;11;SERVICII;-1,9360018;0,28;4,54;-0,62;1,54;0,03;0,03;1,01;0,03;-0,27;1,79;0,23;0,61;0,29;0,39;0,03;0,78;-4,29
No;-1,4432216;8;SERVICII;-1,9360018;0,71;2,40;-0,33;0,08;0,17;0,10;1,12;0,09;-0,90;2,22;0,29;0,07;0,04;0,93;0,10;0,58;-4,29
No;-2,1648324;12;SERVICII;-1,9360018;2,95;1,34;-0,18;0,27;0,20;0,05;2,19;0,02;-0,24;1,05;0,14;0,21;0,10;0,79;0,05;0,25;-4,28
No;-1,2628189;7;SERVICII;-1,9360018;0,17;6,77;-0,93;0,04;0,21;0,18;1,80;0,10;-1,02;6,52;0,85;0,04;0,02;0,96;0,18;0,86;-4,28
No;-1,4432216;8;SERVICII;-1,9360018;0,36;3,77;-0,52;0,08;0,14;0,11;1,26;0,08;-0,86;3,51;0,46;0,07;0,03;0,93;0,11;0,73;-4,27
No;-0,5412081;3;SERVICII;-1,9360018;1,79;1,56;-0,21;5,19;0,44;0,16;0,80;0,20;-2,02;0,25;0,03;0,84;0,41;0,16;0,16;0,36;-4,27
No;-2,7060405;15;SERVICII;-1,9360018;5,88;1,17;-0,16;0,09;-0,21;-0,03;0,84;-0,04;0,37;1,07;0,14;0,09;0,04;0,91;-0,03;0,15;-4,26
No;-1,0824162;6;SERVICII;-1,9360018;0,10;10,79;-1,48;0,93;0,99;0,90;1,55;0,07;-0,71;5,59;0,73;0,48;0,23;0,52;0,90;0,91;-4,25
No;-2,5256378;14;PRODUCTIE;-0,5517872;1,47;1,68;-0,23;3,01;0,50;0,20;1,51;0,13;-1,36;0,42;0,05;0,75;0,36;0,25;0,20;0,41;-4,25
No;-1,4432216;8;MEDICAL;-2,0331656;0,80;2,27;-0,31;0,21;0,68;0,37;4,82;0,08;-0,79;1,87;0,24;0,18;0,09;0,82;0,37;0,55;-4,25
No;-2,7060405;15;COMERT;-0,2060851;0,04;23,40;-3,22;0,28;0,06;0,06;0,11;0,06;-0,61;18,30;2,39;0,22;0,11;0,78;0,06;0,96;-4,25
No;-0,7216108;4;SERVICII;-1,9360018;0,42;3,35;-0,46;0,54;0,18;0,13;0,84;0,15;-1,58;2,17;0,28;0,35;0,17;0,65;0,13;0,71;-4,24
No;-3,0668459;17;SERVICII;-1,9360018;-1,15;0,13;-0,02;0,12;0,56;-3,76;4,60;-0,07;0,71;0,12;0,02;0,11;0,05;0,89;-3,76;-6,68;-4,24
No;-1,804027;10;SERVICII;-1,9360018;3,82;1,26;-0,17;0,18;0,20;0,04;0,81;0,05;-0,54;1,07;0,14;0,15;0,07;0,85;0,04;0,21;-4,24
No;-0,9020135;5;SERVICII;-1,9360018;0,47;3,29;-0,45;0,44;0,40;0,26;1,92;0,14;-1,39;2,29;0,30;0,30;0,15;0,70;0,26;0,65;-4,23
No;-1,9844297;11;SERVICII;-1,9360018;-1,18;0,15;-0,02;0,00;-1,22;6,71;14,15;0,03;-0,31;0,15;0,02;0,00;0,00;1,00;6,71;-5,51;-4,23
No;-1,2628189;7;SERVICII;-1,9360018;0,45;3,25;-0,45;0,16;0,53;0,36;3,64;0,10;-1,01;2,80;0,37;0,14;0,07;0,86;0,36;0,69;-4,23
No;-0,5412081;3;COMERT;-0,2060851;1,81;1,47;-0,20;3,60;0,75;0,28;0,78;0,36;-3,70;0,32;0,04;0,78;0,38;0,22;0,28;0,37;-4,23
No;-0,3608054;2;SERVICII;-1,9360018;2,61;1,39;-0,19;0,30;0,82;0,22;1,15;0,19;-1,99;1,07;0,14;0,23;0,11;0,77;0,22;0,28;-4,22
No;-0,9020135;5;SERVICII;-1,9360018;0,50;3,02;-0,42;0,13;0,17;0,11;0,84;0,13;-1,37;2,68;0,35;0,11;0,05;0,89;0,11;0,67;-4,22
No;-1,804027;10;SERVICII;-1,9360018;2,29;1,47;-0,20;0,60;0,55;0,16;2,88;0,06;-0,58;0,92;0,12;0,38;0,18;0,62;0,16;0,30;-4,22
No;-2,8864432;16;PRODUCTIE;-0,5517872;0,18;6,61;-0,91;3,44;0,02;0,01;0,34;0,04;-0,44;1,49;0,19;0,77;0,38;0,23;0,01;0,85;-4,22
No;-1,4432216;8;SERVICII;-1,9360018;0,65;2,54;-0,35;0,17;0,20;0,12;1,48;0,08;-0,84;2,17;0,28;0,15;0,07;0,85;0,12;0,60;-4,22
No;-1,2628189;7;SERVICII;-1,9360018;4,58;3,52;-0,48;2,41;0,37;0,02;0,23;0,10;-1,01;1,03;0,13;0,71;0,34;0,29;0,02;0,06;-4,22
No;-2,3452351;13;SERVICII;-1,9360018;8,54;1,09;-0,15;0,80;0,16;0,02;2,34;0,01;-0,07;0,61;0,08;0,44;0,22;0,56;0,02;0,11;-4,21
No;-1,9844297;11;SERVICII;-1,9360018;0,61;2,68;-0,37;0,74;0,10;0,06;1,92;0,03;-0,32;1,55;0,20;0,42;0,21;0,58;0,06;0,61;-4,20
No;-2,8864432;16;SERVICII;-1,9360018;-1,92;0,48;-0,07;0,05;0,28;-0,30;5,09;-0,06;0,60;0,45;0,06;0,05;0,02;0,95;-0,30;-1,09;-4,20
No;-1,6236243;9;SERVICII;-1,9360018;1,20;2,04;-0,28;0,00;0,84;0,34;5,67;0,06;-0,62;2,04;0,27;0,00;0,00;1,00;0,34;0,41;-4,19
No;-1,0824162;6;MEDICAL;-2,0331656;1,05;1,92;-0,26;0,48;0,99;0,49;4,41;0,11;-1,14;1,30;0,17;0,32;0,16;0,68;0,49;0,50;-4,19
No;-2,1648324;12;SERVICII;-1,9360018;1,03;1,93;-0,27;0,60;0,07;0,03;2,10;0,02;-0,16;1,20;0,16;0,38;0,18;0,62;0,03;0,50;-4,19
No;-2,8864432;16;SERVICII;-1,9360018;13,48;1,08;-0,15;0,79;-1,12;-0,08;1,58;-0,05;0,50;0,60;0,08;0,44;0,21;0,56;-0,08;0,07;-4,18
No;-1,2628189;7;MEDICAL;-2,0331656;0,56;2,77;-0,38;5,88;0,69;0,45;4,72;0,09;-0,97;0,40;0,05;0,85;0,41;0,15;0,45;0,65;-4,17
No;-2,7060405;15;SERVICII;-1,9360018;0,20;5,99;-0,82;0,00;-2,16;-1,80;2,80;-0,05;0,51;5,99;0,78;0,00;0,00;1,00;-1,80;0,83;-4,17
No;-2,3452351;13;COMERT;-0,2060851;0,51;2,97;-0,41;1,46;0,20;0,13;0,82;0,16;-1,66;1,21;0,16;0,59;0,29;0,41;0,13;0,66;-4,17
No;-1,2628189;7;SERVICII;-1,9360018;0,24;5,40;-0,74;0,35;0,09;0,07;0,80;0,09;-0,88;4,01;0,52;0,26;0,12;0,74;0,07;0,77;-4,17
No;-0,9020135;5;SERVICII;-1,9360018;3,45;1,29;-0,18;0,88;0,57;0,13;0,89;0,14;-1,47;0,69;0,09;0,47;0,23;0,53;0,13;0,22;-4,17
No;-1,4432216;8;SERVICII;-1,9360018;0,55;2,86;-0,39;0,03;0,78;0,49;6,51;0,08;-0,77;2,77;0,36;0,03;0,01;0,97;0,49;0,64;-4,17
No;-1,4432216;8;SERVICII;-1,9360018;3,68;1,27;-0,17;0,15;1,00;0,21;2,66;0,08;-0,82;1,11;0,14;0,13;0,06;0,87;0,21;0,21;-4,17
No;-1,9844297;11;SERVICII;-1,9360018;0,52;2,91;-0,40;0,06;0,06;0,04;1,69;0,02;-0,23;2,74;0,36;0,06;0,03;0,94;0,04;0,66;-4,17
No;-0,1804027;1;SERVICII;-1,9360018;1,57;1,63;-0,22;0,24;0,86;0,33;1,63;0,20;-2,09;1,31;0,17;0,20;0,09;0,80;0,33;0,39;-4,16
No;-1,6236243;9;SERVICII;-1,9360018;0,69;2,44;-0,34;0,18;1,00;0,59;1,10;0,06;-0,61;2,07;0,27;0,15;0,07;0,85;0,59;0,59;-4,16
No;-0,7216108;4;SERVICII;-1,9360018;2,73;1,37;-0,19;1,18;0,61;0,16;1,00;0,16;-1,66;0,63;0,08;0,54;0,26;0,46;0,16;0,27;-4,16
No;-2,5256378;14;COMERT;-0,2060851;4,60;1,22;-0,17;0,37;0,73;0,13;0,89;0,15;-1,50;0,89;0,12;0,27;0,13;0,73;0,13;0,18;-4,15
No;-3,2472486;18;PRODUCTIE;-0,5517872;3,86;1,26;-0,17;0,20;0,13;0,03;0,67;0,04;-0,40;1,05;0,14;0,17;0,08;0,83;0,03;0,21;-4,15
No;-1,9844297;11;SERVICII;-1,9360018;0,83;2,20;-0,30;0,41;0,07;0,04;1,42;0,03;-0,27;1,56;0,20;0,29;0,14;0,71;0,04;0,55;-4,15
No;-2,1648324;12;SERVICII;-1,9360018;2,27;1,44;-0,20;0,08;0,02;0,01;1,06;0,00;-0,05;1,34;0,18;0,07;0,03;0,93;0,01;0,31;-4,14
No;-0,5412081;3;SERVICII;-1,9360018;0,92;2,17;-0,30;0,15;0,38;0,19;1,18;0,16;-1,67;1,88;0,25;0,13;0,06;0,87;0,19;0,50;-4,13
No;-1,6236243;9;SERVICII;-1,9360018;2,10;1,61;-0,22;0,00;0,53;0,16;2,83;0,05;-0,56;1,61;0,21;0,00;0,00;1,00;0,16;0,30;-4,13
No;-0,3608054;2;SERVICII;-1,9360018;0,98;1,98;-0,27;0,14;0,69;0,35;1,95;0,18;-1,85;1,74;0,23;0,12;0,06;0,88;0,35;0,52;-4,13
No;-1,4432216;8;SERVICII;-1,9360018;2,82;1,57;-0,22;0,00;1,10;0,25;3,43;0,07;-0,74;1,57;0,20;0,00;0,00;1,00;0,25;0,23;-4,13
No;-1,0824162;6;SERVICII;-1,9360018;6,54;1,15;-0,16;0,08;4,77;0,63;0,80;0,11;-1,12;1,06;0,14;0,08;0,04;0,92;0,63;0,13;-4,12
No;-2,1648324;12;SERVICII;-1,9360018;-2,15;0,54;-0,07;0,05;-0,03;0,02;6,66;0,00;-0,03;0,51;0,07;0,05;0,02;0,95;0,02;-0,87;-4,12
No;-2,7060405;15;SERVICII;-1,9360018;1,29;1,80;-0,25;0,11;-0,02;-0,01;0,01;-0,05;0,51;1,62;0,21;0,10;0,05;0,90;-0,01;0,43;-4,12
No;-1,0824162;6;SERVICII;-1,9360018;0,25;4,98;-0,69;0,47;0,21;0,17;1,73;0,10;-1,01;3,40;0,44;0,32;0,15;0,68;0,17;0,80;-4,12
No;-2,3452351;13;SERVICII;-1,9360018;-6,35;0,85;-0,12;1,23;-0,02;0,00;1,00;0,00;-0,04;0,38;0,05;0,55;0,27;0,45;0,00;-0,18;-4,12
No;-2,8864432;16;COMERT;-0,2060851;2,42;1,42;-0,19;0,19;0,89;0,26;2,50;0,10;-1,06;1,20;0,16;0,16;0,08;0,84;0,26;0,29;-4,12
No;-1,0824162;6;SERVICII;-1,9360018;2,01;1,50;-0,21;0,17;0,81;0,27;2,44;0,11;-1,13;1,27;0,17;0,15;0,07;0,85;0,27;0,33;-4,11
No;-2,1648324;12;SERVICII;-1,9360018;2,30;1,43;-0,20;0,40;0,04;0,01;1,33;0,01;-0,09;1,02;0,13;0,29;0,14;0,71;0,01;0,30;-4,11
No;-0,3608054;2;SERVICII;-1,9360018;0,10;11,38;-1,56;0,00;0,97;0,88;0,93;0,17;-1,73;11,38;1,49;0,00;0,00;1,00;0,88;0,91;-4,11
No;-1,6236243;9;SERVICII;-1,9360018;1,12;1,89;-0,26;0,01;0,15;0,07;1,36;0,05;-0,53;1,87;0,24;0,01;0,00;0,99;0,07;0,47;-4,10
No;-2,1648324;12;SERVICII;-1,9360018;-2,42;0,70;-0,10;0,29;-0,03;0,02;2,20;0,01;-0,08;0,54;0,07;0,23;0,11;0,77;0,02;-0,59;-4,10
No;-1,4432216;8;SERVICII;-1,9360018;0,16;7,23;-0,99;0,67;0,14;0,12;2,63;0,05;-0,48;4,34;0,57;0,40;0,19;0,60;0,12;0,86;-4,09
No;-1,0824162;6;SERVICII;-1,9360018;0,77;2,28;-0,31;0,45;0,32;0,18;1,66;0,11;-1,11;1,57;0,20;0,31;0,15;0,69;0,18;0,57;-4,09
No;-1,9844297;11;SERVICII;-1,9360018;3,51;1,29;-0,18;0,26;0,18;0,04;1,86;0,02;-0,22;1,02;0,13;0,20;0,10;0,80;0,04;0,22;-4,08
No;-1,6236243;9;SERVICII;-1,9360018;0,55;2,82;-0,39;0,18;0,14;0,09;1,71;0,05;-0,52;2,39;0,31;0,15;0,07;0,85;0,09;0,64;-4,08
No;-2,1648324;12;CONSTRUCTII;-0,8181026;0,12;9,57;-1,32;0,02;0,33;0,29;0,38;0,10;-1,02;9,42;1,23;0,02;0,01;0,98;0,29;0,90;-4,08
No;-1,804027;10;SERVICII;-1,9360018;0,29;4,45;-0,61;0,05;0,38;0,30;0,67;0,03;-0,31;4,25;0,55;0,05;0,02;0,95;0,30;0,78;-4,08
No;-2,1648324;12;SERVICII;-1,9360018;7,06;1,14;-0,16;0,14;0,01;0,00;0,59;0,00;-0,01;1,00;0,13;0,12;0,06;0,88;0,00;0,12;-4,08
No;-2,5256378;14;COMERT;-0,2060851;0,28;4,54;-0,62;1,15;0,13;0,10;0,81;0,12;-1,26;2,11;0,28;0,53;0,26;0,47;0,10;0,78;-4,08
No;-2,3452351;13;SERVICII;-1,9360018;8,90;1,11;-0,15;0,12;-0,10;-0,01;0,57;-0,02;0,17;0,99;0,13;0,11;0,05;0,89;-0,01;0,10;-4,08
No;-2,7060405;15;COMERT;-0,2060851;0,41;3,48;-0,48;0,43;0,19;0,14;1,22;0,11;-1,15;2,43;0,32;0,30;0,15;0,70;0,14;0,71;-4,08
No;-1,9844297;11;SERVICII;-1,9360018;6,49;1,15;-0,16;0,15;0,09;0,01;0,61;0,02;-0,19;1,00;0,13;0,13;0,06;0,87;0,01;0,13;-4,07
No;-0,3608054;2;SERVICII;-1,9360018;3,01;1,35;-0,19;0,00;2,29;0,56;3,26;0,17;-1,77;1,35;0,18;0,00;0,00;1,00;0,56;0,25;-4,07
No;-1,4432216;8;MEDICAL;-2,0331656;1,62;1,62;-0,22;0,01;0,41;0,15;2,69;0,06;-0,59;1,61;0,21;0,01;0,00;0,99;0,15;0,38;-4,07
No;-1,4432216;8;MEDICAL;-2,0331656;3,12;1,31;-0,18;0,22;0,48;0,12;1,85;0,06;-0,64;1,08;0,14;0,18;0,09;0,82;0,12;0,24;-4,07
No;-1,2628189;7;MEDICAL;-2,0331656;2,13;1,47;-0,20;2,42;0,17;0,06;0,59;0,09;-0,96;0,43;0,06;0,71;0,34;0,29;0,06;0,32;-4,06
No;-0,9020135;5;MEDICAL;-2,0331656;3,43;1,28;-0,18;0,24;0,99;0,23;1,96;0,11;-1,17;1,04;0,14;0,19;0,09;0,81;0,23;0,23;-4,06
No;-1,804027;10;MEDICAL;-2,0331656;2,66;1,37;-0,19;0,03;0,14;0,04;1,84;0,02;-0,22;1,34;0,17;0,03;0,01;0,97;0,04;0,27;-4,06
No;-0,1804027;1;SERVICII;-1,9360018;2,18;1,54;-0,21;0,00;0,99;0,30;1,57;0,19;-1,93;1,54;0,20;0,00;0,00;1,00;0,30;0,30;-4,05
No;-0,7216108;4;SERVICII;-1,9360018;0,39;3,58;-0,49;12,41;0,10;0,07;0,54;0,14;-1,39;0,27;0,03;0,93;0,45;0,07;0,07;0,72;-4,05
No;-3,0668459;17;COMERT;-0,2060851;1,11;1,90;-0,26;0,06;0,18;0,08;1,10;0,08;-0,78;1,79;0,23;0,06;0,03;0,94;0,08;0,47;-4,05
No;-1,804027;10;SERVICII;-1,9360018;426,17;0,97;-0,13;0,61;55,14;0,13;3,11;0,04;-0,44;0,60;0,08;0,38;0,18;0,62;0,13;0,00;-4,05
No;-2,7060405;15;SERVICII;-1,9360018;2,14;1,32;-0,18;10,34;-0,08;-0,03;0,92;-0,03;0,32;0,12;0,02;0,91;0,44;0,09;-0,03;0,35;-4,05
No;-0,7216108;4;SERVICII;-1,9360018;1,31;1,76;-0,24;0,99;0,64;0,28;1,89;0,15;-1,50;0,89;0,12;0,50;0,24;0,50;0,28;0,43;-4,05
No;-0,3608054;2;SERVICII;-1,9360018;0,77;2,29;-0,31;0,58;0,58;0,33;1,88;0,18;-1,80;1,45;0,19;0,37;0,18;0,63;0,33;0,57;-4,04
No;-0,3608054;2;SERVICII;-1,9360018;0,01;150,27;-20,67;0,00;0,59;0,58;0,98;0,07;-0,71;150,27;19,64;0,00;0,00;1,00;0,58;0,99;-4,04
No;-0,7216108;4;SERVICII;-1,9360018;-0,90;0,80;-0,11;0,06;-0,31;0,43;3,12;0,14;-1,40;0,75;0,10;0,06;0,03;0,94;0,43;-1,39;-4,04
No;-1,2628189;7;SERVICII;-1,9360018;-295,88;1,00;-0,14;0,01;-32,68;0,11;1,35;0,08;-0,84;0,98;0,13;0,01;0,01;0,99;0,11;0,00;-4,04
No;-2,3452351;13;COMERT;-0,2060851;0,66;2,50;-0,34;0,13;0,30;0,18;1,26;0,15;-1,48;2,21;0,29;0,12;0,06;0,88;0,18;0,60;-4,03
No;-2,1648324;12;SERVICII;-1,9360018;1,74;1,57;-0,22;0,85;0,02;0,01;1,63;0,00;-0,05;0,85;0,11;0,46;0,22;0,54;0,01;0,37;-4,03
No;-1,804027;10;SERVICII;-1,9360018;0,67;2,50;-0,34;0,78;0,10;0,06;1,87;0,03;-0,34;1,40;0,18;0,44;0,21;0,56;0,06;0,60;-4,03
No;-2,8864432;16;COMERT;-0,2060851;0,06;16,69;-2,30;0,32;0,04;0,04;0,08;0,04;-0,41;12,61;1,65;0,24;0,12;0,76;0,04;0,94;-4,03
No;-1,4432216;8;CONSTRUCTII;-0,8181026;0,03;39,53;-5,44;0,02;0,01;0,01;0,05;0,14;-1,40;38,72;5,06;0,02;0,01;0,98;0,01;0,97;-4,03
No;-2,5256378;14;PRODUCTIE;-0,5517872;0,23;5,28;-0,73;3,14;0,03;0,03;0,37;0,07;-0,75;1,28;0,17;0,76;0,37;0,24;0,03;0,81;-4,02
No;-2,3452351;13;PRODUCTIE;-0,5517872;3,04;1,33;-0,18;15,96;1,00;0,25;1,79;0,14;-1,41;0,08;0,01;0,94;0,46;0,06;0,25;0,25;-4,02
No;-1,2628189;7;SERVICII;-1,9360018;0,79;2,29;-0,32;0,06;0,82;0,45;5,64;0,08;-0,82;2,17;0,28;0,05;0,03;0,95;0,45;0,55;-4,02
No;-1,6236243;9;MEDICAL;-2,0331656;2,19;1,43;-0,20;0,21;0,98;0,31;7,83;0,04;-0,41;1,18;0,15;0,17;0,08;0,83;0,31;0,32;-4,02
No;-0,7216108;4;SERVICII;-1,9360018;0,73;2,37;-0,33;2,04;0,99;0,57;3,99;0,14;-1,46;0,78;0,10;0,67;0,33;0,33;0,57;0,58;-4,02
No;-0,9020135;5;SERVICII;-1,9360018;0,38;3,60;-0,50;0,44;0,35;0,25;2,23;0,11;-1,16;2,50;0,33;0,31;0,15;0,69;0,25;0,72;-4,01
No;-1,0824162;6;CONSTRUCTII;-0,8181026;0,21;5,69;-0,78;1,43;0,13;0,11;0,58;0,19;-1,92;2,34;0,31;0,59;0,29;0,41;0,11;0,82;-4,01
No;-1,2628189;7;SERVICII;-1,9360018;0,21;5,75;-0,79;0,28;0,82;0,68;1,13;0,07;-0,71;4,49;0,59;0,22;0,11;0,78;0,68;0,83;-4,01
No;-3,0668459;17;SERVICII;-1,9360018;1,04;1,96;-0,27;0,07;-0,11;-0,06;0,57;-0,10;1,00;1,83;0,24;0,07;0,03;0,93;-0,06;0,49;-4,00
No;-1,0824162;6;SERVICII;-1,9360018;0,35;3,87;-0,53;0,16;0,49;0,36;3,83;0,09;-0,96;3,34;0,44;0,14;0,07;0,86;0,36;0,74;-4,00
No;-0,9020135;5;SERVICII;-1,9360018;0,31;4,19;-0,58;0,54;0,09;0,07;0,66;0,11;-1,11;2,72;0,36;0,35;0,17;0,65;0,07;0,76;-4,00
No;-2,1648324;12;SERVICII;-1,9360018;-5,13;0,82;-0,11;0,43;0,00;0,00;1,31;0,00;0,00;0,57;0,07;0,30;0,15;0,70;0,00;-0,24;-3,99
No;-1,2628189;7;SERVICII;-1,9360018;1,58;1,55;-0,21;0,01;0,32;0,13;1,68;0,08;-0,78;1,52;0,20;0,01;0,01;0,99;0,13;0,41;-3,99
No;-2,1648324;12;SERVICII;-1,9360018;0,44;3,26;-0,45;0,02;-0,02;-0,01;1,10;-0,01;0,13;3,20;0,42;0,02;0,01;0,98;-0,01;0,69;-3,99
No;-1,804027;10;PRODUCTIE;-0,5517872;0,66;2,63;-0,36;1,08;0,19;0,11;0,67;0,17;-1,69;1,26;0,17;0,52;0,25;0,48;0,11;0,57;-3,99
No;-2,5256378;14;COMERT;-0,2060851;0,33;4,03;-0,55;0,00;1,00;0,75;0,94;0,12;-1,22;4,02;0,52;0,00;0,00;1,00;0,75;0,75;-3,98
No;-1,9844297;11;SERVICII;-1,9360018;1,58;1,63;-0,22;0,12;0,03;0,01;1,56;0,01;-0,08;1,45;0,19;0,11;0,05;0,89;0,01;0,39;-3,98
No;-0,5412081;3;CONSTRUCTII;-0,8181026;1,24;1,85;-0,25;0,62;0,82;0,36;1,35;0,26;-2,70;1,15;0,15;0,38;0,19;0,62;0,36;0,44;-3,97
No;-3,4276513;19;COMERT;-0,2060851;-2,69;0,63;-0,09;0,02;-0,20;0,12;3,60;0,03;-0,34;0,62;0,08;0,02;0,01;0,98;0,12;-0,59;-3,97
No;-1,9844297;11;SERVICII;-1,9360018;2,57;1,39;-0,19;0,11;0,03;0,01;1,04;0,01;-0,07;1,25;0,16;0,10;0,05;0,90;0,01;0,28;-3,97
No;-1,0824162;6;SERVICII;-1,9360018;-4,69;0,79;-0,11;0,00;-2,03;0,55;5,93;0,09;-0,95;0,79;0,10;0,00;0,00;1,00;0,55;-0,27;-3,97
No;-1,2628189;7;SERVICII;-1,9360018;3,80;1,26;-0,17;0,25;1,00;0,21;2,57;0,08;-0,83;1,01;0,13;0,20;0,10;0,80;0,21;0,21;-3,97
No;-2,3452351;13;COMERT;-0,2060851;1,28;1,78;-0,24;0,09;0,44;0,19;1,37;0,14;-1,42;1,63;0,21;0,08;0,04;0,92;0,19;0,44;-3,97
No;-1,4432216;8;SERVICII;-1,9360018;3,85;1,26;-0,17;3,39;0,45;0,09;1,15;0,08;-0,82;0,29;0,04;0,77;0,37;0,23;0,09;0,21;-3,96
No;-0,5412081;3;SERVICII;-1,9360018;3,04;1,33;-0,18;0,09;0,96;0,24;1,62;0,15;-1,50;1,22;0,16;0,08;0,04;0,92;0,24;0,25;-3,96
No;-1,2628189;7;SERVICII;-1,9360018;0,18;5,46;-0,75;0,05;0,71;0,72;1,20;0,07;-0,71;5,19;0,68;0,05;0,02;0,95;0,72;1,02;-3,96
No;-0,5412081;3;SERVICII;-1,9360018;3,14;1,32;-0,18;0,06;0,58;0,14;0,96;0,15;-1,49;1,24;0,16;0,06;0,03;0,94;0,14;0,24;-3,96
No;-2,1648324;12;SERVICII;-1,9360018;3,36;1,25;-0,17;1,28;0,04;0,01;3,24;0,00;-0,03;0,55;0,07;0,56;0,27;0,44;0,01;0,24;-3,96
No;-1,6236243;9;SERVICII;-1,9360018;7,21;1,14;-0,16;0,18;0,21;0,03;0,61;0,04;-0,43;0,96;0,13;0,15;0,07;0,85;0,03;0,12;-3,95
No;-0,5412081;3;SERVICII;-1,9360018;0,72;2,40;-0,33;0,00;0,76;0,44;3,11;0,14;-1,45;2,40;0,31;0,00;0,00;1,00;0,44;0,58;-3,95
No;-1,9844297;11;SERVICII;-1,9360018;-1,77;0,43;-0,06;0,05;-0,01;0,01;2,19;0,00;-0,04;0,41;0,05;0,05;0,02;0,95;0,01;-1,30;-3,94
No;-0,3608054;2;MEDICAL;-2,0331656;3,12;1,30;-0,18;0,26;0,99;0,24;1,55;0,16;-1,60;1,03;0,13;0,21;0,10;0,79;0,24;0,25;-3,94
No;-0,1804027;1;SERVICII;-1,9360018;16,51;1,06;-0,15;0,07;0,00;0,00;0,00;0,18;-1,84;0,99;0,13;0,06;0,03;0,94;0,00;0,06;-3,94
No;-1,2628189;7;SERVICII;-1,9360018;1,92;1,41;-0,19;0,35;0,56;0,21;2,63;0,08;-0,81;1,04;0,14;0,26;0,13;0,74;0,21;0,37;-3,94
No;-0,9020135;5;SERVICII;-1,9360018;0,12;9,25;-1,27;0,16;0,28;0,25;2,77;0,09;-0,93;7,95;1,04;0,14;0,07;0,86;0,25;0,90;-3,94
